Pulsar,Model,Min freq (MHz),S150 (mJy),S300 (mJy),u_S150 (mJy),u_S300 (mJy)
J1756-2251,SPL,1276.34,61.190413192027,16.172291128802012,26.705773420055948,4.743900701244366
J1756-2435,HFCO,606.0,6.311490199286249,4.761003656007226,2.7776936773080902,1.4225975469968235
J1757-2223,HFCO,600.0,1.930527693298048,1.8513261851241765,0.0997476368939288,0.0908354982826332
J1758-2206,SPL,1276.46,826.6429147631491,80.14164749059523,2463.979861586265,163.97398798647637
J1758-2630,SPL,1276.17,4.172636710445087,1.6717898198907686,13.510121829862255,3.719666922570581
J1759-1940,SPL,1276.34,368.126291275816,61.46333465314365,702.531283250936,80.49436162201148
J1759-2922,SPL,350.0,101.68460354603268,20.17684331952877,47.10729185030098,6.218028616882278
J1759-3107,HFCO,350.0,17.68042050296302,8.891958700364931,6.679915105946974,2.2478466076858865
J1801-1909,SPL,1277.08,6071.822956789036,331.3332283477826,10384.104376986714,388.286982449223
J1801-2154,SPL,1360.0,4.109064278070309,1.606206219926981,2.678831170517832,0.7533835377684958
J1802-2426,SPL,1276.92,16.098720250089013,5.205094712259649,38.70576414871404,8.592221825458143
J1803-1857,SPL,1277.96,13.295112717674629,4.375686179620923,18.97917851954997,4.2840789387659655
J1803-2712,SPL,640.0,13.617964056086176,6.023052465641618,26.264069251709227,7.996545720371416
J1803-3002A,SPL,900.0,78.85764481457137,18.41082406278384,26.70484454378305,4.021465293396606
J1804-0735,SPL,606.0,1.9093382842296207,1.4845346740559564,1.171538537003812,0.6279228278866285
J1804-2717,HFCO,350.0,12.509205297071349,11.090644527726672,1.9403119350330007,1.7065740717822606
J1805-1504,SPL,728.0,293.5316314750376,79.77393511111862,295.17733264218833,54.78548128088184
J1806-2125,SPL,1170.0,71.73309278402246,17.602229809075332,39.354715913756166,6.797422740421591
J1807-2715,SPL,350.0,197.95268975098483,36.56063414588344,107.6860575197515,13.22273687844375
J1808-2057,SPL,606.0,51.68748620627241,20.77510139770996,16.018389268897295,4.640013697207972
J1809-1429,SPL,728.0,65.32208393034666,16.992891609229737,37.89913355305295,6.770178586713014
J1809-2109,SPL,606.0,84.81272640610628,20.853310447413275,114.16548759055566,19.055614454095853
J1810-1820,SPL,1275.64,16.012011986950064,5.980498840001951,40.86144516996767,10.488255227584794
J1810-5338,SPL,400.0,88.58817806390894,27.966506896137297,52.746148798320085,12.191096775124072
J1812-1718,SPL,1278.5,165.32884281747974,36.08164329875156,97.0055839971086,14.493509494772734
J1812-1733,HFCO,728.0,54.92663391276496,27.96791933665751,20.66700421647108,7.158059871321624
J1812-2102,SPL,1278.5,124.27752080584732,31.8622911728985,44.8834076615928,7.957013722183018
J1813-2113,SPL,1275.34,274.5883251672117,38.49665815824983,606.5500038094611,58.380865934072176
J1814-1649,SPL,1278.75,33.67200582365846,12.302503060019822,45.46433248951806,11.409736551599886
J1814-1744,SPL,1276.87,1069.687720421336,105.3356532728962,2333.5294468662687,157.74706197720843
J1815-1738,SPL,1360.0,5.915166058061499,2.498869757489206,4.084354306345599,1.234141486350092
J1816-2650,HFCO,350.0,55.66839126619311,26.88137785961373,17.94248799456693,3.986718095142096
J1817-3618,HFCO,350.0,29.31519278142971,17.098713513797794,7.610125071413703,2.598667691882645
J1817-3837,HFCO,350.0,9.671800068042227,6.404696867330364,2.763680734451992,1.214728539749729
J1819-0925,SPL,1278.75,645.8390778239414,80.30492406804639,686.2746804499259,58.5004776481894
J1819-1510,SPL,1275.39,1315.0458925604055,129.40613020583172,2313.7098601552834,156.3020298146142
J1820-1346,SPL,606.0,131.07949662455846,36.60297892255353,170.2736421638766,32.7265035324695
J1820-1529,SPL,1278.5,46.63625652604484,13.722413589583295,18.778871436958,3.910512669347018
J1820-1818,SPL,640.0,11.588557673484914,5.693953122432686,19.91208484887051,6.761188854861215
J1822-2256,BPL,350.0,78.87890351385458,34.87858489020748,26.75995688656013,4.779753155920475
J1822-4209,SPL,436.0,26.375673857141976,9.237967141643296,26.012502154343533,6.349252665729171
J1823-1347,SPL,1277.56,6.853994827364949,2.93087785604664,22.47507411496977,6.608341508182173
J1823-1526,SPL,1277.44,76.70201529860606,15.098813049210364,155.81406101796546,21.11713587759589
J1823-3021B,SPL,350.0,20.47269298280097,4.4427318099187305,4.456886560473171,0.5728914150474395
J1824-1118,SPL,606.0,109.35790886531312,29.91504395061947,48.589371578332,9.222426654362758
J1824-1423,SPL,1278.75,17.04488707009874,7.314848104911485,17.99011094943612,5.294731046236701
J1826-1131,SPL,606.0,272.4049183400676,48.24352569636859,67.44179782693745,7.256215864121212
J1826-1526,SPL,1277.09,38.34837654276375,8.75153382516676,92.3338854136946,14.486144847164374
J1827-0750,SPL,728.0,154.42875213452908,44.32723044991056,68.98427825381755,13.648946429086504
J1827-0958,SPL,1278.75,725.3783810614984,119.9796297095217,615.7848720532274,69.85151011320035
J1828-0611,SPL,728.0,47.81913521968674,16.735183415052152,17.070031297306677,4.104239181332792
J1828-1101,HFCO,1360.0,4.409860769234246,3.875478392947072,3.087914305158605,1.9516616529348336
J1829+0000,SPL,350.0,19.68486152567178,6.451166203287025,10.258602529692348,2.30387455225114
J1830-1135,SPL,843.0,206.84638792549092,41.45161840304775,247.48707294497373,34.05678470262889
J1831-1223,SPL,728.0,101.80066394227036,25.723636339743788,44.26361709410303,7.684081923959837
J1831-1329,SPL,1276.91,900.4157354073271,91.95022756600116,1059.018323246812,74.18362811095588
J1832-0836,SPL,820.0,12.009673983001315,5.2381795053596445,4.242445289677487,1.2956260880331352
J1833-0559,SPL,1277.39,21.42193335445179,8.095969755550065,45.16053176835303,11.719312290374711
